CONTENIDO,dt,window,ID,followers,sentiment,post_acceptance,is_negative,engagement,TOPIC,COMMENTS,LIKES,SHARES,FOLLOWERS
"🗣️ @sarasimonalcorlo.bsky.social defiende avanzar hacia la prohibición del burka y nicab en espacios públicos para salvaguardar los derechos de las mujeres a las que se trata de ""invisibilizar"" con estos elementos

@publico.es | #CastillaLaMancha

Aquí os lo contamos 👇",2026-02-19,2026-02-19,DEC08CEC4D1B111A,313.0,1,1.0,False,630.0,prohibición burka espacios públicos,1.0,1,2.0,313.0
"Patxi López defiende el burka como una ""expresión de libertad religiosa"" en medio del debate sobre su prohibición en espacios públicos.",2026-02-18,2026-02-18,E76C5C0B32614E3B,110.0,1,1.0,False,220.0,libertad religiosa,0.0,0,0.0,110.0
"—El PP: ""La prohibición del burka no es contra una religión sino contra la invisibilidad forzada y no prohibirlo en espacios públicos sería retroceder en libertad""

—Also el PP:",2026-02-17,2026-02-17,B3025337587BA4A0,2216.0,1,1.0,False,4464.0,libertad religiosa,2.0,22,8.0,2216.0
"Burka y niqab | El Congreso rechaza la prohibición del velo integral en espacios públicos, pero el debate continuará en la cámara

orain.eus/es/politica/...",2026-02-17,2026-02-17,AD19BB499812EACA,490.0,0,-1.0,True,980.0,prohibición burka espacios públicos,0.0,0,0.0,490.0
"Sobre la prohibición del burka y niqab en espacios públicos.
Una vez vi una mujer con burka, y respeto a quien lo hace por motivos religiosos.
Su prohibición supondría aislamiento total de quien lo usa y así lo sentenció el TS en 2013 
Las ultraderechas debaten un problema que no existe y eso cala.",2026-02-17,2026-02-17,438599D4306ACC24,293.0,0,-1.0,True,587.0,prohibición burka espacios públicos,1.0,0,0.0,293.0
"El PP defiende la prohibición del burka y el niqab en espacios públicos: ""Son mujeres en cárceles de tela""
➡️ Ester Muñoz, portavoz parlamentaria, descarta un cambio en los planteamientos de su formación: ""Esto no es negociable"".",2026-02-17,2026-02-17,2DF7CFCE521D1CB5,2127.0,1,-0.3333333333333333,True,4254.0,prohibición burka espacios públicos,0.0,0,0.0,2127.0
La prohibición del burka y el niqab en los espacios públicos decaerá por el rechazo de Junts,2026-02-17,2026-02-17,0CFFEE7D38661577,885.0,1,-1.0,True,1770.0,rechazo,0.0,0,0.0,885.0
"No voy a defender un burka, pero la prohibición y las sanciones solo van a relegar más a estas mujeres, se o les encerrarán en las casas. Yo no creo en la prohibición, es violencia para combatir la violencia. La solución es que ocupen espacios públicos, que vayan a las escuelas, a trabajar y poco",2026-02-17,2026-02-17,50D3DA8258303742,834.0,-1,-1.0,True,1669.0,rechazo,1.0,0,0.0,834.0
"𝗘𝗹 𝗱𝗲𝗯𝗮𝘁𝗲 𝘀𝗼𝗯𝗿𝗲 𝗹𝗮 𝗽𝗿𝗼𝗵𝗶𝗯𝗶𝗰𝗶𝗼́𝗻 𝗱𝗲𝗹 𝗯𝘂𝗿𝗸𝗮 𝘆 𝗻𝗶𝗾𝗮𝗯 𝗲𝗻 𝗲𝘀𝗽𝗮𝗰𝗶𝗼𝘀 𝗽𝘂́𝗯𝗹𝗶𝗰𝗼𝘀 𝗮𝘁𝗲𝗿𝗿𝗶𝘇𝗮 𝗵𝗼𝘆 𝗲𝗻 𝗲𝗹 𝗖𝗼𝗻𝗴𝗿𝗲𝘀𝗼 a iniciativa de Vox 🥦 y con el apoyo del PP 💧

🌷 Sumar votará en contra y la tacha de “retrógrada”.

🍈 Junts mantiene la incógnita sobre su posición.

👇
electomania.es/el-debate-so...",2026-02-17,2026-02-17,AA0830D5C9D0C954,10057.0,-1,-1.0,True,20116.0,rechazo,0.0,2,0.0,10057.0
"PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos
www.elplural.com/politica/esp...",2026-02-17,2026-02-17,F5C7C709BA655B7A,1986.0,0,1.0,False,3972.0,prohibición burka espacios públicos,0.0,0,0.0,1986.0
PP y Vox votan en el Congreso este martes la prohibición del burka y el niqab en espacios públicos,2026-02-17,2026-02-17,5B3CCB21A9B03A7C,10993.0,0,1.0,False,21992.0,prohibición burka espacios públicos,3.0,2,1.0,10993.0
"El PP busca elementos de enganche con Vox. Y ha encontrado uno: la prohibición del uso del burka y el niqab en espacios públicos. Los dos partidos del Gobierno, PSOE y Sumar, anticipan su rechazo",2026-02-17,2026-02-17,AB49EC778314099E,163351.0,-1,-0.3333333333333333,True,326717.0,rechazo,3.0,11,1.0,163351.0
"PPVOX quieren prohibir la utilización del burka y niqab en los espacios públicos y, yo me pregunto si tambien pedirán la prohibición de",2026-02-16,2026-02-16,1315A2C2B899EF61,2534.0,0,-1.0,True,5094.0,prohibición burka espacios públicos,2.0,16,8.0,2534.0
"Ante la propues prohibición del #niqab y el #burka: No estamos ante un debate técnico sobre una prenda, sino ante una estrategia de construcción de pánico moral, dentro de otra más amplia de ofensiva racista. vientosur.info/niqab-un-deb...",2026-02-21,2026-02-21,CB4C0F4C4D815FE4,14.0,-1,-1.0,True,28.0,Ofensiva racista,0.0,0,0.0,14.0
"Ada Colau incendia las redes: la exalcaldesa compara la prohibición del burka con los nazarenos de Semana Santa



➡️ Las declaraciones de la exalcaldesa de Barcelona han desatado la polémica en cientos de usuarios.",2026-02-20,2026-02-20,2DF7CFCE521D1CB5,2127.0,1,-0.3333333333333333,True,4254.0,prohibición burka espacios públicos,0.0,0,0.0,2127.0
La prohibición del burka en el ayuntamiento de Burgos no es cosa pequeña teniendo en cuenta el frío que hace en esa ciudad del demonio.,2026-02-20,2026-02-20,E832E4B07717E054,1257.0,-1,0.5,True,2520.0,rechazo,0.0,6,0.0,1257.0
Aprueban la tajante prohibición del uso del burka en el cuarto de la limpieza de la sede del partido.,2026-02-20,2026-02-20,1C76C403218CC0A4,77.0,0,-1.0,True,155.0,prohibición burka espacios públicos,0.0,1,0.0,77.0
"La prohibición de cubrirse el rostro ya sabemos que produce más problemas que beneficios pero el PP ha prohibido el uso del burka en el ayuntamiento de Burgos y a mí que se prohíba los elementos religiosos l, incluida la indumentaria, dentro de  edificios públicos no me parece tan mal, la verdad",2026-02-20,2026-02-20,101017D24DB39249,472.0,0,-1.0,True,944.0,libertad de expresión,0.0,0,0.0,472.0
No entiendo por qué no han prohibido el uso de aviones Airbus A320 dentro del ayuntamiento. ¿No se dan cuenta de que no caben? Espero que rectifiquen y junto a la prohibición de uso del burka incluyan también la de los A320.,2026-02-20,2026-02-20,375F8AC86513C56A,130.0,0,1.0,False,293.0,prohibición burka espacios públicos,1.0,30,2.0,130.0
Pedro Ruiz opina sin filtros sobre la prohibición del burka en España: «Honradamente...»,2026-02-20,2026-02-20,0CFFEE7D38661577,885.0,1,-1.0,True,1770.0,opinión,0.0,0,0.0,885.0
"Al final voy a opinar de lo de la prohibición del burka, aunque sea tangencialmente. 
El caso es que ambas opiniones al respecto me parecen relativamente aceptables, pero estoy viendo tal desfile de argumentos de mierda para defender una u otra que me está sacando un poco de quicio.",2026-02-19,2026-02-19,11A4668F5438AB61,192.0,-1,-1.0,True,386.0,rechazo,0.0,2,0.0,192.0
